Year,Skill,Count
2015,JavaScript,6702
2015,ООП,5146
2015,jQuery,5121
2015,HTML5,5003
2015,HTML,3791
2015,C#,3439
2015,MVC,3147
2015,.NET Framework,3116
2015,CSS,3015
2015,ASP.NET,2998
2015,PHP,2765
2015,Git,2528
2015,Ведение переговоров,2434
2015,MySQL,2430
2015,Java,2312
2015,SQL,2148
2015,Управление проектами,1977
2015,Поиск и привлечение клиентов,1868
2015,CSS3,1807
2015,Английский язык,1732
2016,JavaScript,13481
2016,HTML,9790
2016,PHP,8995
2016,Git,8450
2016,Ведение переговоров,8407
2016,CSS,8136
2016,jQuery,7684
2016,MySQL,7591
2016,Работа в команде,7109
2016,HTML5,6756
2016,Пользователь ПК,6727
2016,SQL,6567
2016,Java,6431
2016,Управление проектами,6358
2016,ООП,6024
2016,Грамотная речь,5500
2016,CSS3,5356
2016,Поиск и привлечение клиентов,5286
2016,Навыки продаж,5123
2016,Активные продажи,5051
2017,JavaScript,20170
2017,HTML,14485
2017,PHP,12682
2017,CSS,12672
2017,Git,12584
2017,MySQL,11175
2017,Ведение переговоров,10196
2017,SQL,9936
2017,jQuery,9708
2017,HTML5,8939
2017,Управление проектами,8723
2017,Java,8414
2017,Работа в команде,8173
2017,Linux,7952
2017,ООП,7917
2017,Пользователь ПК,7210
2017,Английский язык,6897
2017,Активные продажи,6871
2017,CSS3,6583
2017,B2B Продажи,6432
2018,JavaScript,28103
2018,HTML,20174
2018,Git,19460
2018,CSS,17615
2018,PHP,17147
2018,SQL,16130
2018,MySQL,15693
2018,Ведение переговоров,15266
2018,Управление проектами,13631
2018,Работа в команде,13214
2018,Java,12965
2018,Linux,12440
2018,Пользователь ПК,11593
2018,HTML5,11423
2018,jQuery,11319
2018,Английский язык,10910
2018,Активные продажи,10246
2018,Грамотная речь,9865
2018,ООП,9799
2018,Деловая переписка,9634
2019,JavaScript,31635
2019,SQL,25629
2019,Git,25126
2019,HTML,22114
2019,Работа в команде,20011
2019,Английский язык,19672
2019,CSS,19579
2019,Пользователь ПК,18709
2019,Linux,18152
2019,Ведение переговоров,18092
2019,Управление проектами,17962
2019,PHP,17461
2019,Java,17120
2019,MySQL,16144
2019,Грамотная речь,15902
2019,Python,14710
2019,Активные продажи,12489
2019,ООП,11553
2019,Деловая переписка,11237
2019,B2B Продажи,11158
2020,SQL,56764
2020,Git,45503
2020,Английский язык,43439
2020,JavaScript,41325
2020,Работа в команде,39109
2020,Пользователь ПК,37617
2020,Linux,36571
2020,Грамотная речь,33868
2020,Java,30722
2020,HTML,28078
2020,Python,28048
2020,Управление проектами,27749
2020,CSS,25497
2020,Активные продажи,23285
2020,MS SQL,23197
2020,MySQL,22498
2020,PostgreSQL,21947
2020,Ведение переговоров,21111
2020,PHP,20950
2020,ООП,17799
2021,Работа в команде,96440
2021,SQL,96399
2021,Английский язык,86388
2021,Грамотная речь,77188
2021,Git,74292
2021,Пользователь ПК,62068
2021,JavaScript,58612
2021,Linux,57973
2021,Управление проектами,51195
2021,Python,49883
2021,Java,42782
2021,HTML,37996
2021,PostgreSQL,36148
2021,Ведение переговоров,35476
2021,Adobe Photoshop,33654
2021,CSS,32957
2021,Грамотность,32913
2021,Деловое общение,31639
2021,Активные продажи,30765
2021,MS SQL,30582
2022,Работа в команде,92410
2022,SQL,89857
2022,Английский язык,70608
2022,Git,67732
2022,Linux,57900
2022,Пользователь ПК,53027
2022,Грамотная речь,47851
2022,Python,47809
2022,JavaScript,45648
2022,Управление проектами,45076
2022,PostgreSQL,37245
2022,Adobe Photoshop,35129
2022,Java,34042
2022,Техническое обслуживание,29310
2022,MS PowerPoint,27896
2022,1С программирование,27307
2022,HTML,26745
2022,Аналитическое мышление,26679
2022,Грамотность,25886
2022,PHP,25686
2023,SQL,62368
2023,Работа в команде,45313
2023,Linux,41049
2023,Git,37744
2023,Python,35688
2023,Грамотная речь,31817
2023,PostgreSQL,30432
2023,Пользователь ПК,28205
2023,Английский язык,27032
2023,Управление проектами,26447
2023,JavaScript,25351
2023,Аналитическое мышление,24417
2023,Adobe Photoshop,24374
2023,1С программирование,22154
2023,Работа с большим объемом информации,21448
2023,Java,20731
2023,Техническая поддержка,18770
2023,Деловое общение,18464
2023,PHP,18091
2023,Docker,17949
2024,SQL,48119
2024,Linux,29619
2024,Python,27281
2024,Git,23616
2024,PostgreSQL,23539
2024,Аналитическое мышление,20174
2024,Техническая поддержка,18671
2024,JavaScript,16223
2024,Работа с большим объемом информации,15652
2024,Настройка ПК,15547
2024,Английский язык,15191
2024,Java,15155
2024,Adobe Photoshop,15042
2024,Работа в команде,14681
2024,1С программирование,14533
2024,Грамотная речь,14349
2024,Docker,14168
2024,Пользователь ПК,13547
2024,Деловая коммуникация,13370
2024,Информационные технологии,12837
